0.74,0.74,0.99,-0.00,-0.00
0.74,0.74,0.99,-0.00,-0.00
0.74,0.74,0.99,-0.00,-0.00
0.74,0.74,0.99,-0.00,-0.00
0.74,0.74,1.13,0.19,-0.00
0.74,0.74,10.73,4.27,8.45
0.74,0.74,35.24,17.37,13.93
0.74,0.74,26.61,24.82,25.55
0.74,0.74,31.13,11.35,19.14
0.75,0.75,33.39,21.48,17.27
0.76,0.76,31.01,20.51,27.50
0.94,0.94,35.38,24.54,34.43
1.11,1.11,34.84,30.48,35.82
0.83,0.83,39.67,28.64,28.98
0.86,0.86,42.90,34.30,33.59
0.77,0.77,37.22,27.13,23.22
0.88,0.88,35.26,26.75,31.85
1.24,1.24,30.01,23.96,28.77
1.00,1.00,39.82,34.63,37.42
1.06,1.06,37.07,29.28,30.43
1.31,1.31,31.27,27.11,33.10
1.37,1.37,29.44,26.32,26.60
2.55,2.55,29.36,24.27,20.83
1.62,1.62,36.35,28.00,33.64
1.35,1.35,32.93,21.34,22.82
2.08,2.08,25.52,29.51,28.21
1.19,1.19,28.17,22.97,30.09
2.80,2.80,37.07,28.80,29.95
5.24,5.24,27.87,29.75,31.64
3.61,3.61,21.35,22.11,27.45
11.41,11.41,27.73,29.78,33.89
10.40,10.40,31.59,24.08,26.11
11.20,11.20,36.06,23.14,33.92
12.64,12.64,40.98,33.22,39.31
15.80,15.80,67.00,39.57,38.30
14.81,14.81,61.81,32.12,31.01
14.92,14.92,53.50,31.40,22.97
15.00,15.00,60.45,40.22,26.11
11.52,11.52,66.68,34.73,21.44
4.28,4.28,58.58,27.88,33.09
3.34,3.34,52.46,27.81,33.54
6.62,6.62,73.54,33.72,34.90
9.49,9.49,68.92,22.94,34.56
13.45,13.45,65.10,33.36,36.85
16.28,16.28,60.74,34.97,36.34
21.82,21.82,60.71,30.19,33.53
28.35,28.35,56.26,30.04,38.06
34.10,34.10,52.64,35.17,36.11
33.89,33.89,52.23,37.09,35.21
28.19,28.19,48.56,31.52,38.13
16.61,16.61,49.65,31.79,33.68
13.54,13.54,69.63,37.57,30.65
12.88,12.88,66.05,31.89,32.75
20.30,20.30,58.18,29.23,30.16
27.22,27.22,53.39,32.33,31.45
29.09,29.09,50.89,34.03,34.83
23.20,23.20,46.69,26.67,23.62
12.99,12.99,54.21,34.46,24.94
14.79,14.79,66.35,37.10,32.97
15.45,15.45,59.92,31.85,25.71
25.95,25.95,58.42,28.67,28.27
30.40,30.40,59.81,31.70,26.35
33.40,33.40,53.53,31.42,27.19
35.21,35.21,50.14,30.44,27.93
33.97,33.97,55.65,34.02,31.71
32.18,32.18,44.57,31.18,39.86
22.52,22.52,55.06,27.66,39.29
10.00,10.00,49.40,30.55,32.91
11.39,11.39,73.56,38.00,31.81
8.99,8.99,71.87,40.18,23.04
13.04,13.04,67.04,36.19,35.08
14.96,14.96,60.76,32.99,34.46
23.23,23.23,57.35,36.03,34.75
29.59,29.59,54.38,35.92,30.65
34.99,34.99,54.13,36.76,32.67
37.75,37.75,55.25,39.47,29.54
39.61,39.61,53.80,39.99,34.81
40.05,40.05,51.37,36.95,35.75
40.34,40.34,48.07,34.43,35.66
38.03,38.03,52.63,33.12,40.45
37.61,37.61,53.41,32.50,39.55
38.75,38.75,50.76,29.78,33.54
37.83,37.83,41.75,30.94,37.37
37.54,37.54,42.35,23.70,27.15
27.92,27.92,47.39,24.33,23.39
16.96,16.96,54.89,32.46,29.06
9.76,9.76,70.67,34.94,28.30
14.36,14.36,65.82,28.86,29.98
21.57,21.57,61.38,28.88,25.56
28.31,28.31,55.06,33.42,25.50
24.83,24.83,51.34,30.63,26.79
17.46,17.46,51.72,27.26,29.78
12.11,12.11,62.68,33.26,30.90
12.70,12.70,69.99,26.44,25.31
14.51,14.51,65.57,31.51,26.89
19.89,19.89,59.34,31.63,33.91
29.03,29.03,54.01,36.76,36.21
33.00,33.00,53.82,33.72,39.80
36.93,36.93,50.17,35.87,34.54
38.40,38.40,49.50,38.16,31.68
39.91,39.91,44.71,36.97,30.94
36.65,36.65,39.08,30.40,31.02
34.40,34.40,44.45,32.20,30.88
26.84,26.84,47.28,32.93,30.40
27.00,27.00,61.37,40.20,24.50
22.13,22.13,59.85,26.97,30.48
30.00,30.00,51.33,28.68,27.80
32.86,32.86,47.62,27.20,25.94
31.83,31.83,44.65,27.93,30.28
22.97,22.97,43.58,20.54,21.69
13.80,13.80,54.44,14.92,18.71
12.38,12.38,71.98,3.96,15.90
17.63,17.63,70.25,1.29,8.54
22.39,22.39,68.30,7.19,12.92
28.05,28.05,63.75,19.13,23.77
31.02,31.02,65.96,20.22,25.58
35.61,35.61,62.07,26.65,33.10
38.11,38.11,52.09,26.63,38.59
39.53,39.53,53.52,31.15,38.70
38.78,38.78,53.11,31.90,32.02
38.97,38.97,48.31,31.40,29.90
39.28,39.28,45.82,32.43,35.22
36.85,36.85,40.07,28.94,37.64
34.81,34.81,49.67,29.89,36.96
33.28,33.28,39.75,25.41,36.39
29.91,29.91,42.21,22.91,30.46
21.72,21.72,46.28,19.45,33.56
15.79,15.79,46.22,15.66,28.64
10.71,10.71,66.97,17.27,28.48
7.08,7.08,77.09,2.80,28.50
7.01,7.01,73.61,1.23,17.63
12.07,12.07,70.69,2.30,15.52
15.37,15.37,67.42,8.24,32.03
20.39,20.39,63.97,16.24,33.46
25.11,25.11,62.31,21.95,42.27
35.61,35.61,60.29,23.80,32.47
45.58,45.58,58.65,25.26,34.65
47.66,47.66,57.26,25.34,39.34
46.47,46.47,55.21,27.61,41.35
46.88,46.88,51.65,29.56,35.30
44.40,44.40,50.72,28.27,37.53
42.55,42.55,45.53,26.92,34.01
43.62,43.62,43.28,25.71,32.37
41.45,41.45,45.18,24.73,32.52
32.67,32.67,47.61,25.17,36.28
22.86,22.86,50.95,21.68,35.31
13.41,13.41,69.23,29.86,32.71
8.38,8.38,80.50,31.44,30.48
12.21,12.21,77.37,24.46,30.27
12.52,12.52,71.89,23.88,41.05
20.24,20.24,68.40,25.49,30.76
24.11,24.11,67.26,20.18,40.11
26.01,26.01,66.22,26.46,36.76
28.17,28.17,66.39,27.68,34.74
33.65,33.65,64.92,25.79,33.42
36.54,36.54,64.64,26.21,32.57
37.61,37.61,62.76,28.10,35.05
39.54,39.54,63.58,30.27,32.04
43.84,43.84,64.04,27.57,33.48
42.28,42.28,62.32,23.85,31.55
44.63,44.63,61.64,17.16,30.79
46.65,46.65,61.52,14.05,33.07
41.62,41.62,62.17,9.89,34.75
41.37,41.37,63.12,11.02,41.72
39.79,39.79,64.40,9.98,42.92
39.67,39.67,64.52,8.37,30.07
40.31,40.31,66.20,3.95,28.26
37.36,37.36,64.60,4.50,30.70
39.92,39.92,60.31,9.15,30.86
39.05,39.05,62.46,9.86,33.52
41.64,41.64,62.02,4.44,34.68
40.65,40.65,59.17,11.15,36.38
37.80,37.80,59.13,14.77,37.01
40.23,40.23,61.08,10.51,40.59
41.48,41.48,59.78,18.98,41.02
39.77,39.77,58.95,11.39,36.64
41.24,41.24,56.74,17.75,37.38
41.52,41.52,59.12,18.12,37.77
41.84,41.84,55.53,16.00,43.52
43.46,43.46,60.61,16.98,49.40
40.04,40.04,55.92,14.04,48.51
35.54,35.54,58.95,22.93,40.74
25.05,25.05,58.88,50.38,40.06
21.66,21.66,86.72,65.19,53.89
19.28,19.28,89.44,67.92,52.67
21.52,21.52,82.04,72.98,60.26
23.17,23.17,71.05,76.90,62.46
25.93,25.93,64.65,74.60,62.46
30.81,30.81,68.25,73.77,60.89
33.88,33.88,63.03,73.90,61.72
37.36,37.36,61.48,73.82,60.05
37.71,37.71,57.20,73.82,58.24
37.40,37.40,56.49,71.77,59.13
38.73,38.73,58.54,71.42,57.86
39.17,39.17,58.44,71.93,57.29
39.88,39.88,59.16,72.42,55.99
39.26,39.26,51.09,70.84,54.04
36.71,36.71,54.75,68.99,54.55
37.01,37.01,44.39,71.75,53.27
31.25,31.25,46.08,71.31,54.52
26.69,26.69,46.62,71.04,60.22
25.84,25.84,58.08,72.36,62.92
16.26,16.26,67.16,73.67,69.76
14.24,14.24,63.57,75.64,76.85
21.51,21.51,59.61,69.50,79.71
22.87,22.87,60.61,52.32,79.85
24.78,24.78,62.95,57.39,78.67
26.51,26.51,59.60,60.47,78.27
27.64,27.64,62.02,57.39,77.09
25.80,25.80,55.89,56.32,76.74
24.13,24.13,53.92,52.10,74.20
27.42,27.42,55.77,42.24,74.82
22.51,22.51,49.10,47.03,67.80
24.09,24.09,49.86,47.42,71.15
30.64,30.64,40.65,44.30,72.20
26.89,26.89,45.36,49.03,74.31
23.17,23.17,51.22,41.14,71.24
30.72,30.72,51.00,45.72,70.62
29.18,29.18,47.49,40.67,72.61
21.80,21.80,53.80,41.20,74.34
21.15,21.15,59.14,48.91,76.20
25.88,25.88,80.72,67.41,77.07
25.65,25.65,90.47,69.46,80.68
26.13,26.13,82.05,74.25,81.55
27.99,27.99,63.33,77.13,81.56
24.26,24.26,66.39,79.30,80.92
23.60,23.60,63.20,80.17,80.82
27.22,27.22,60.30,80.16,80.23
26.83,26.83,62.60,79.07,78.52
31.87,31.87,58.48,80.02,77.57
22.21,22.21,42.96,81.08,76.04
23.71,23.71,48.26,80.88,76.00
21.88,21.88,45.92,80.14,71.36
19.52,19.52,54.36,78.88,74.55
25.79,25.79,48.97,80.30,73.13
29.36,29.36,46.43,81.44,76.49
28.53,28.53,46.56,79.73,77.69
23.36,23.36,50.88,79.40,76.02
18.56,18.56,57.68,78.71,76.68
17.02,17.02,69.07,77.04,78.13
15.00,15.00,72.12,72.34,85.35
10.15,10.15,66.34,65.62,83.04
12.83,12.83,61.35,58.37,79.94
15.02,15.02,58.06,59.26,79.41
20.47,20.47,55.15,62.63,80.20
30.50,30.50,54.41,57.25,78.28
33.77,33.77,50.36,48.66,73.78
28.68,28.68,50.57,54.04,72.08
26.48,26.48,49.25,51.31,73.62
30.24,30.24,46.35,52.61,72.38
27.26,27.26,45.18,49.89,66.58
24.24,24.24,48.78,51.48,67.87
17.83,17.83,42.82,56.69,69.23
17.89,17.89,42.63,68.45,71.92
20.85,20.85,47.13,73.50,73.73
21.46,21.46,48.45,69.86,74.79
21.29,21.29,55.70,64.52,73.61
17.76,17.76,64.90,62.56,74.07
17.09,17.09,77.42,66.35,70.77
16.31,16.31,88.37,66.92,68.55
17.72,17.72,84.11,67.48,71.92
20.78,20.78,74.11,66.59,73.22
24.45,24.45,66.37,71.64,71.65
29.04,29.04,66.12,73.14,72.03
34.42,34.42,65.96,73.83,71.76
35.41,35.41,64.49,74.51,71.69
29.09,29.09,58.03,74.16,70.47
30.17,30.17,51.53,71.44,68.51
28.42,28.42,49.42,68.67,67.12
27.72,27.72,46.94,64.27,69.91
34.55,34.55,53.48,61.64,66.52
37.43,37.43,50.15,52.81,69.23
28.35,28.35,51.02,59.70,70.16
25.84,25.84,44.16,54.87,73.02
19.20,19.20,46.28,59.24,70.21
20.97,20.97,55.05,60.87,76.07
23.76,23.76,63.27,58.60,76.69
21.28,21.28,67.57,71.04,77.58
19.58,19.58,64.81,80.78,82.32
24.13,24.13,62.87,77.21,80.34
25.89,25.89,58.19,79.39,77.59
27.45,27.45,53.80,78.87,78.65
31.21,31.21,52.17,79.22,79.48
28.64,28.64,52.87,79.44,76.05
22.69,22.69,56.59,80.11,76.07
19.29,19.29,66.08,77.73,79.04
17.33,17.33,71.22,73.49,78.71
23.10,23.10,87.85,69.57,74.99
29.12,29.12,87.62,55.52,77.77
31.24,31.24,80.47,52.07,76.71
36.03,36.03,73.08,53.43,76.63
36.72,36.72,70.98,58.64,80.32
39.95,39.95,66.15,58.53,78.28
31.65,31.65,65.21,62.40,71.70
19.46,19.46,61.72,62.70,72.68
15.30,15.30,52.95,74.84,72.06
11.78,11.78,46.87,78.85,69.64
16.17,16.17,57.51,77.16,67.56
23.43,23.43,59.99,77.25,71.33
27.64,27.64,58.87,75.87,70.89
33.34,33.34,62.76,72.47,67.57
37.63,37.63,53.81,74.78,70.45
36.65,36.65,53.16,71.46,69.58
27.51,27.51,52.97,63.75,69.48
19.94,19.94,61.13,60.96,69.15
19.67,19.67,64.84,58.63,70.09
23.90,23.90,87.05,56.28,73.73
16.71,16.71,77.55,54.81,70.60
14.27,14.27,65.63,46.60,74.37
16.42,16.42,72.27,52.89,77.64
19.43,19.43,66.64,51.23,76.30
20.23,20.23,67.45,53.29,74.52
20.04,20.04,71.90,58.31,75.06
16.71,16.71,87.98,69.21,74.70
15.29,15.29,86.76,69.94,75.17
10.83,10.83,84.81,65.24,78.63
16.79,16.79,83.79,72.68,78.90
17.51,17.51,80.86,68.87,78.81
14.52,14.52,79.24,66.10,73.57
12.78,12.78,79.96,74.49,78.11
11.49,11.49,80.79,79.53,76.34
9.28,9.28,77.89,81.00,76.70
9.62,9.62,75.98,81.02,76.05
11.84,11.84,76.88,79.65,76.15
16.29,16.29,70.92,75.99,75.58
18.74,18.74,80.88,77.65,74.99
18.23,18.23,79.36,79.14,71.89
16.71,16.71,75.64,74.70,75.87
24.37,24.37,73.77,74.51,77.90
24.57,24.57,67.63,71.86,78.04
17.92,17.92,71.23,71.11,79.08
16.76,16.76,75.52,64.64,78.73
19.59,19.59,91.84,63.87,75.44
21.98,21.98,80.25,74.40,74.01
16.53,16.53,77.06,76.77,77.21
13.75,13.75,67.68,77.86,75.10
18.99,18.99,67.80,76.80,77.23
20.14,20.14,67.03,79.39,74.32
17.65,17.65,63.70,77.75,75.04
17.76,17.76,56.98,78.46,73.44
19.60,19.60,59.77,79.65,72.67
22.48,22.48,60.95,78.45,73.06
21.62,21.62,60.82,80.33,72.41
24.67,24.67,58.18,77.56,73.51
27.89,27.89,56.27,77.99,73.50
29.94,29.94,57.00,78.75,73.58
30.97,30.97,45.98,76.62,75.49
27.66,27.66,47.80,79.16,74.31
22.34,22.34,48.02,77.89,74.14
21.01,21.01,56.28,77.15,72.69
21.52,21.52,70.29,79.19,75.57
16.21,16.21,69.51,76.29,78.27
13.52,13.52,67.98,76.16,80.39
19.85,19.85,61.01,77.69,78.93
22.00,22.00,61.60,78.54,79.51
21.30,21.30,53.47,79.48,78.08
18.36,18.36,62.18,73.88,78.83
18.47,18.47,63.44,77.78,77.78
24.96,24.96,56.58,79.08,76.36
26.69,26.69,43.23,77.32,76.59
21.88,21.88,49.31,78.00,76.43
24.83,24.83,55.28,76.02,75.82
27.74,27.74,51.95,77.18,76.44
28.81,28.81,48.86,79.43,72.82
30.99,30.99,43.29,74.41,68.70
30.46,30.46,44.66,76.96,62.98
24.37,24.37,56.08,76.77,61.24
16.51,16.51,72.94,74.69,65.98
8.17,8.17,75.93,64.67,72.18
11.05,11.05,88.96,60.82,73.63
12.36,12.36,88.26,55.27,75.57
16.68,16.68,82.57,49.13,79.22
19.13,19.13,71.48,51.35,79.44
20.94,20.94,68.45,51.77,78.76
20.93,20.93,65.55,53.39,77.95
19.23,19.23,71.18,52.32,77.52
18.03,18.03,69.07,50.30,76.47
17.83,17.83,54.30,36.19,77.74
20.01,20.01,59.99,48.56,77.32
18.59,18.59,57.76,53.05,77.53
19.81,19.81,55.41,51.98,79.77
19.74,19.74,57.71,49.03,79.36
22.11,22.11,49.82,50.33,79.33
22.35,22.35,45.26,55.40,79.10
21.89,21.89,46.69,60.11,79.21
21.69,21.69,52.73,67.66,78.52
17.98,17.98,61.37,77.50,78.81
11.14,11.14,70.77,75.31,79.05
14.42,14.42,70.12,77.34,80.63
4.68,4.68,68.79,71.25,79.38
12.25,12.25,61.87,75.78,82.31
20.93,20.93,56.62,77.01,79.87
23.19,23.19,62.48,75.36,80.49
18.47,18.47,62.52,78.92,80.59
23.50,23.50,53.01,75.89,79.70
25.60,25.60,58.28,66.71,80.50
23.18,23.18,51.30,62.19,79.37
24.20,24.20,47.81,60.08,79.64
22.73,22.73,49.77,56.96,80.46
29.74,29.74,43.20,55.73,78.45
31.97,31.97,42.72,57.17,78.36
26.57,26.57,45.55,62.85,78.02
20.29,20.29,46.16,64.53,78.37
22.30,22.30,45.51,63.69,76.65
20.84,20.84,65.31,70.56,76.96
13.40,13.40,65.10,53.94,78.56
12.23,12.23,79.95,49.79,77.90
12.18,12.18,88.91,51.25,78.20
16.73,16.73,85.30,50.37,76.56
21.35,21.35,71.64,51.67,76.52
18.88,18.88,64.87,48.90,77.86
13.23,13.23,61.19,49.82,76.95
11.98,11.98,68.51,51.71,76.05
12.28,12.28,68.01,48.69,76.89
11.52,11.52,58.27,52.80,77.86
11.17,11.17,58.80,55.49,78.06
13.72,13.72,56.65,48.33,76.93
14.87,14.87,53.50,51.19,75.31
18.31,18.31,58.89,52.37,73.79
14.63,14.63,49.45,58.56,70.49
15.81,15.81,51.07,53.44,70.85
11.54,11.54,41.33,71.86,72.97
9.86,9.86,45.87,77.42,73.94
7.69,7.69,52.23,79.16,73.62
18.89,18.89,67.48,76.95,73.17
